2020-09-30 09:27:50,775, CALLERID(number)=0000000000, UNIQUEID=1601483270.2543, CHANNEL=SIP/655-00000552, name=outgoing-by-calling-extension
2020-09-30 09:27:52,099, CALLERID(number)=0000000000, UNIQUEID=1601483270.2543, CHANNEL=SIP/655-00000552, name=outgoing_portland_menu
2020-09-30 09:27:52,910, CALLERID(number)=0000000000, UNIQUEID=1601483270.2543, CHANNEL=SIP/655-00000552, name=outgoing-dialtone-wrapper
2020-09-30 09:27:57,639, CALLERID(number)=0000000000, UNIQUEID=1601483270.2543, CHANNEL=SIP/655-00000552, name=macro-filterdial
2020-09-30 09:27:58,012, CALLERID(number)=0000000000, UNIQUEID=1601483270.2543, CHANNEL=SIP/655-00000552, name=macro-dial
2020-09-30 09:28:37,935, CALLERID(number)=0000000000, UNIQUEID=1601483270.2543, CHANNEL=SIP/655-00000552, name=outgoing-dialstatus-ANSWER-twilio-termination
2020-09-30 10:38:11,281, CALLERID(number)=0000000000, UNIQUEID=1601487490.2549, CHANNEL=SIP/futel.pstn.twilio.com-00000554, name=default-incoming
2020-09-30 10:38:11,385, CALLERID(number)=0000000000, UNIQUEID=1601487490.2549, CHANNEL=SIP/futel.pstn.twilio.com-00000554, name=ring-taylor
2020-09-30 10:39:53,000, CALLERID(number)=0000000000, UNIQUEID=1601487592.2552, CHANNEL=SIP/futel.pstn.twilio.com-00000556, name=default-incoming
2020-09-30 10:39:53,101, CALLERID(number)=0000000000, UNIQUEID=1601487592.2552, CHANNEL=SIP/futel.pstn.twilio.com-00000556, name=ring-taylor
2020-09-30 11:35:11,270, CALLERID(number)=0000000000, UNIQUEID=1601490911.2555, CHANNEL=SIP/660-00000558, name=outgoing-by-calling-extension
2020-09-30 11:35:11,386, CALLERID(number)=0000000000, UNIQUEID=1601490911.2555, CHANNEL=SIP/660-00000558, name=hold_the_phone_main
2020-09-30 11:35:38,339, CALLERID(number)=0000000000, UNIQUEID=1601490911.2555, CHANNEL=SIP/660-00000558, name=missed_connections_info
2020-09-30 11:36:55,753, CALLERID(number)=0000000000, UNIQUEID=1601491015.2557, CHANNEL=SIP/660-00000559, name=outgoing-by-calling-extension
2020-09-30 11:36:55,869, CALLERID(number)=0000000000, UNIQUEID=1601491015.2557, CHANNEL=SIP/660-00000559, name=hold_the_phone_main
2020-09-30 11:37:14,732, CALLERID(number)=0000000000, UNIQUEID=1601491015.2557, CHANNEL=SIP/660-00000559, name=outgoing_portland_menu
2020-09-30 11:37:26,952, CALLERID(number)=0000000000, UNIQUEID=1601491015.2557, CHANNEL=SIP/660-00000559, name=outgoing-voicemail
2020-09-30 11:37:32,398, CALLERID(number)=0000000000, UNIQUEID=1601491015.2557, CHANNEL=SIP/660-00000559, name=voicemail-main
2020-09-30 13:04:35,289, CALLERID(number)=0000000000, UNIQUEID=1601496275.2559, CHANNEL=SIP/645-0000055a, name=outgoing-by-calling-extension
2020-09-30 13:04:35,977, CALLERID(number)=0000000000, UNIQUEID=1601496275.2559, CHANNEL=SIP/645-0000055a, name=outgoing_portland_menu
2020-09-30 13:24:47,847, CALLERID(number)=0000000000, UNIQUEID=1601497487.2561, CHANNEL=SIP/645-0000055b, name=outgoing-by-calling-extension
2020-09-30 13:24:49,010, CALLERID(number)=0000000000, UNIQUEID=1601497487.2561, CHANNEL=SIP/645-0000055b, name=outgoing_portland_menu
2020-09-30 13:25:17,647, CALLERID(number)=0000000000, UNIQUEID=1601497517.2563, CHANNEL=SIP/645-0000055c, name=outgoing-by-calling-extension
2020-09-30 13:25:18,731, CALLERID(number)=0000000000, UNIQUEID=1601497517.2563, CHANNEL=SIP/645-0000055c, name=outgoing_portland_menu
2020-09-30 13:25:22,881, CALLERID(number)=0000000000, UNIQUEID=1601497517.2563, CHANNEL=SIP/645-0000055c, name=outgoing-dialtone-wrapper
2020-09-30 13:25:27,777, CALLERID(number)=0000000000, UNIQUEID=1601497527.2565, CHANNEL=SIP/645-0000055d, name=outgoing-by-calling-extension
2020-09-30 13:25:28,942, CALLERID(number)=0000000000, UNIQUEID=1601497527.2565, CHANNEL=SIP/645-0000055d, name=outgoing_portland_menu
2020-09-30 13:25:31,031, CALLERID(number)=0000000000, UNIQUEID=1601497527.2565, CHANNEL=SIP/645-0000055d, name=outgoing-dialtone-wrapper
2020-09-30 13:25:41,146, CALLERID(number)=0000000000, UNIQUEID=1601497527.2565, CHANNEL=SIP/645-0000055d, name=macro-filterdial
2020-09-30 13:25:41,519, CALLERID(number)=0000000000, UNIQUEID=1601497527.2565, CHANNEL=SIP/645-0000055d, name=macro-dial
2020-09-30 13:42:32,826, CALLERID(number)=0000000000, UNIQUEID=1601498552.2567, CHANNEL=SIP/655-0000055f, name=outgoing-by-calling-extension
2020-09-30 13:42:33,514, CALLERID(number)=0000000000, UNIQUEID=1601498552.2567, CHANNEL=SIP/655-0000055f, name=outgoing_portland_menu
2020-09-30 15:13:13,141, CALLERID(number)=0000000000, UNIQUEID=1601503992.2570, CHANNEL=SIP/685-00000560, name=outgoing-by-calling-extension
2020-09-30 15:13:13,669, CALLERID(number)=0000000000, UNIQUEID=1601503992.2570, CHANNEL=SIP/685-00000560, name=outgoing_detroit_menu
2020-09-30 15:13:17,526, CALLERID(number)=0000000000, UNIQUEID=1601503992.2570, CHANNEL=SIP/685-00000560, name=outgoing-dialtone-wrapper
